タイムスタンプ,レベル,メッセージ,コンテキスト,エラー詳細
25/12/2025 17:21:18,INFO,checkEventCapacity: 定員チェック完了,"{""eventId"":""vho5f8o93s37k1mmr0bpgeudus"",""maxAttendees"":999,""currentAttendees"":0,""isFull"":false,""availableSpots"":999}",
25/12/2025 17:22:02,INFO,updateReservationVisualization: 予約状況の可視化を更新しました,,
25/12/2025 17:22:15,INFO,updateReservationList: 予約一覧を更新しました,,
25/12/2025 17:30:51,INFO,checkEventCapacity: 定員チェック完了,"{""eventId"":""vho5f8o93s37k1mmr0bpgeudus"",""maxAttendees"":999,""currentAttendees"":0,""isFull"":false,""availableSpots"":999}",
25/12/2025 17:31:23,INFO,updateReservationVisualization: 予約状況の可視化を更新しました,,
25/12/2025 17:31:30,INFO,updateReservationList: 予約一覧を更新しました,,
25/12/2025 17:32:05,INFO,checkEventCapacity: 定員チェック完了,"{""eventId"":""vho5f8o93s37k1mmr0bpgeudus"",""maxAttendees"":999,""currentAttendees"":0,""isFull"":false,""availableSpots"":999}",
25/12/2025 17:32:40,INFO,updateReservationVisualization: 予約状況の可視化を更新しました,,
25/12/2025 17:32:46,INFO,updateReservationList: 予約一覧を更新しました,,
25/12/2025 17:33:18,INFO,checkEventCapacity: 定員チェック完了,"{""eventId"":""vho5f8o93s37k1mmr0bpgeudus"",""maxAttendees"":999,""currentAttendees"":0,""isFull"":false,""availableSpots"":999}",
25/12/2025 17:34:03,INFO,updateReservationVisualization: 予約状況の可視化を更新しました,,
25/12/2025 17:34:16,INFO,updateReservationList: 予約一覧を更新しました,,
26/12/2025 12:46:27,INFO,getAvailableSessionsForChange: 変更可能セッションを取得,"{""email"":""t_sato2@ga-tech.co.jp"",""count"":0}",
26/12/2025 12:49:07,INFO,getAvailableSessionsForChange: 変更可能セッションを取得,"{""email"":""t_sato2@ga-tech.co.jp"",""count"":0}",
26/12/2025 12:50:01,INFO,getAvailableSessionsForChange: 変更可能セッションを取得,"{""email"":""t_sato2@ga-tech.co.jp"",""count"":0}",
26/12/2025 12:50:58,INFO,getAvailableSessionsForChange: 変更可能セッションを取得,"{""email"":""t_sato2@ga-tech.co.jp"",""count"":0}",
26/12/2025 12:51:44,INFO,getAvailableSessionsForChange: 変更可能セッションを取得,"{""email"":""t_sato2@ga-tech.co.jp"",""count"":0}",
26/12/2025 12:52:43,INFO,getAvailableSessionsForChange: 変更可能セッションを取得,"{""email"":""t_sato2@ga-tech.co.jp"",""count"":0}",
26/12/2025 12:54:47,INFO,checkEventCapacity: 定員チェック完了,"{""eventId"":""vho5f8o93s37k1mmr0bpgeudus"",""maxAttendees"":999,""currentAttendees"":0,""isFull"":false,""availableSpots"":999}",
26/12/2025 12:55:24,INFO,updateReservationVisualization: 予約状況の可視化を更新しました,,
26/12/2025 12:55:36,INFO,updateReservationList: 予約一覧を更新しました,,
26/12/2025 12:55:42,INFO,getAvailableSessionsForChange: 変更可能セッションを取得,"{""email"":""t_sato2@ga-tech.co.jp"",""count"":0}",
05/01/2026 14:22:45,INFO,cancelReservation: 予約削除を開始,"{""email"":""t_sato2@ga-tech.co.jp"",""eventId"":""hvqdc7k9t1d96clvbq5nvk6jks""}",
05/01/2026 14:22:46,ERROR,handleCancellation: エラーが発生しました,"{""email"":""t_sato2@ga-tech.co.jp"",""eventId"":""hvqdc7k9t1d96clvbq5nvk6jks""}","Exception: The parameters (number,number,number,null) don't match the method signature for SpreadsheetApp.Sheet.getRange."
05/01/2026 14:22:47,ERROR,cancelReservation: エラーが発生しました,"{""email"":""t_sato2@ga-tech.co.jp"",""eventId"":""hvqdc7k9t1d96clvbq5nvk6jks"",""errorMessage"":""API呼び出しエラー: Calendar API - removeGuest""}",Error: API呼び出しエラー: Calendar API - removeGuest
05/01/2026 14:25:34,INFO,cancelReservation: 予約削除を開始,"{""email"":""t_sato2@ga-tech.co.jp"",""eventId"":""hvqdc7k9t1d96clvbq5nvk6jks""}",
05/01/2026 14:25:35,INFO,sendCancellationEmail: キャンセルメール送信完了,"{""email"":""t_sato2@ga-tech.co.jp"",""eventId"":""hvqdc7k9t1d96clvbq5nvk6jks""}",
05/01/2026 14:25:35,INFO,handleCancellation: キャンセル処理完了,"{""email"":""t_sato2@ga-tech.co.jp"",""eventId"":""hvqdc7k9t1d96clvbq5nvk6jks""}",
05/01/2026 14:25:36,INFO,cancelReservation: 予約削除完了,"{""email"":""t_sato2@ga-tech.co.jp"",""eventId"":""hvqdc7k9t1d96clvbq5nvk6jks""}",
05/01/2026 14:25:38,INFO,changeReservation: 予約変更を開始,"{""email"":""t_sato2@ga-tech.co.jp"",""oldEventId"":""lq091vh4igfupu58i8jllm5tf0"",""newEventId"":""7gd2clkualg5n0dkfdor88s7qs""}",
05/01/2026 14:25:39,ERROR,changeReservation: エラーが発生しました,"{""email"":""t_sato2@ga-tech.co.jp"",""oldEventId"":""lq091vh4igfupu58i8jllm5tf0"",""newEventId"":""7gd2clkualg5n0dkfdor88s7qs"",""errorMessage"":""データが無効です: 変更期限を過ぎています（3日前まで）""}",Error: データが無効です: 変更期限を過ぎています（3日前まで）
05/01/2026 14:26:35,INFO,checkEventCapacity: 定員チェック完了,"{""eventId"":""lq091vh4igfupu58i8jllm5tf0"",""maxAttendees"":999,""currentAttendees"":0,""isFull"":false,""availableSpots"":999}",
05/01/2026 14:27:09,INFO,updateReservationVisualization: 予約状況の可視化を更新しました,,
05/01/2026 14:27:10,INFO,updateReservationList: 予約一覧を更新しました,,
05/01/2026 14:27:12,INFO,updateCalendarEvent: イベント更新完了,"{""eventId"":""lq091vh4igfupu58i8jllm5tf0"",""updates"":{""title"":""[テスト] 更新されたタイトル 1767590831778""}}",
05/01/2026 14:27:13,INFO,updateCalendarEvent: イベント更新完了,"{""eventId"":""lq091vh4igfupu58i8jllm5tf0"",""updates"":{""title"":""[テスト] 継続研修テストイベント""}}",
05/01/2026 14:27:15,INFO,sendCancellationEmail: キャンセルメール送信完了,"{""email"":""t_sato2@ga-tech.co.jp"",""eventId"":""lq091vh4igfupu58i8jllm5tf0""}",
05/01/2026 14:27:15,INFO,handleCancellation: キャンセル処理完了,"{""email"":""t_sato2@ga-tech.co.jp"",""eventId"":""lq091vh4igfupu58i8jllm5tf0""}",
05/01/2026 14:27:18,INFO,getAvailableSessionsForChange: 変更可能セッションを取得,"{""email"":""t_sato2@ga-tech.co.jp"",""count"":0}",
05/01/2026 14:27:20,INFO,changeReservation: 予約変更を開始,"{""email"":""t_sato2@ga-tech.co.jp"",""oldEventId"":""lq091vh4igfupu58i8jllm5tf0"",""newEventId"":""7gd2clkualg5n0dkfdor88s7qs""}",
05/01/2026 14:27:21,ERROR,changeReservation: エラーが発生しました,"{""email"":""t_sato2@ga-tech.co.jp"",""oldEventId"":""lq091vh4igfupu58i8jllm5tf0"",""newEventId"":""7gd2clkualg5n0dkfdor88s7qs"",""errorMessage"":""データが無効です: 変更期限を過ぎています（3日前まで）""}",Error: データが無効です: 変更期限を過ぎています（3日前まで）
05/01/2026 14:34:14,INFO,cancelReservation: 予約削除を開始,"{""email"":""t_sato2@ga-tech.co.jp"",""eventId"":""hvqdc7k9t1d96clvbq5nvk6jks""}",
