グループ,コース名,対象者人数,予約済み,予約率,アクション,最後のリマインド
3期生,コンプライアンス＆会社ルールについて,187,0,0.00%,未予約者へリマインド,
3期生,契約＆契約手続きについて,187,0,0.00%,未予約者へリマインド,
3期生,お客様対応について,187,0,0.00%,,
3期生,契約の解約・解除＆損害賠償請求について,187,0,0.00%,,
3期生,個人情報について,187,0,0.00%,,
3期生,クレーム対応の極意について,187,0,0.00%,,
3期生,クレーム対応の文書/メール作成について,187,0,0.00%,,
3期生,販売契約＆売買取引トラブル＆実需仲介について,187,0,0.00%,,
3期生,仕入れ契約＆仕入れについて,187,0,0.00%,,
3期生,マスターリース・サブリース＆トラブルについて,187,0,0.00%,,
3期生,管理委託＆賃貸借契約、賃貸借トラブル対応,187,0,0.00%,,
3期生,賃貸借トラブル対応,187,0,0.00%,,
2期生,コンプライアンス＆会社ルールについて,198,0,0.00%,,
2期生,契約＆契約手続きについて,198,0,0.00%,,
2期生,お客様対応について,198,0,0.00%,,
2期生,契約の解約・解除＆損害賠償請求について,198,0,0.00%,,
2期生,個人情報について,198,0,0.00%,,
2期生,クレーム対応の極意について,198,0,0.00%,,
2期生,クレーム対応の文書/メール作成について,198,0,0.00%,,
2期生,販売契約＆売買取引トラブル＆実需仲介について,198,0,0.00%,,
2期生,仕入れ契約＆仕入れについて,198,0,0.00%,,
2期生,マスターリース・サブリース＆トラブルについて,198,0,0.00%,,
2期生,管理委託＆賃貸借契約、賃貸借トラブル対応,198,0,0.00%,,
2期生,賃貸借トラブル対応,198,0,0.00%,,
1期生,コンプライアンス総則,143,0,0.00%,,
1期生,基礎クレーム,143,0,0.00%,,
1期生,説明責任,143,0,0.00%,,
1期生,守秘義務・個人情報,143,0,0.00%,,
1期生,損害賠償責任,143,0,0.00%,,
1期生,解除・取消し,143,0,0.00%,,
1期生,サブリース物件,143,0,0.00%,,
1期生,SOSについて,143,0,0.00%,,
